السنة,الربع,المنطقة,النشاط الاقتصادي,عدد المنشآت متناهية الصغر,عدد المنشآت الصغيرة,عدد المنشآت المتوسطة,عدد المنشآت الكبيرة,عدد المنشآت,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
2023,2,منطقة نجران,الأنشطة الإيجارية,1224.0,36.0,,,1260.0,,,,,,,,,,
2023,2,منطقة نجران,الأنشطة البيطرية,10.0,,,,10.0,,,,,,,,,,
2023,2,منطقة نجران,الأنشطة الرياضية وأنشطة التسلية والترفيه,42.0,18.0,,,60.0,,,,,,,,,,
2023,2,منطقة نجران,الأنشطة العقارية,66.0,6.0,,,72.0,,,,,,,,,,
2023,2,منطقة نجران,الأنشطة القانونية وأنشطة المحاسبة,39.0,3.0,,,42.0,,,,,,,,,,
2023,2,منطقة نجران,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,2.0,1.0,,,3.0,,,,,,,,,,
2023,2,منطقة نجران,الأنشطة المهنية والعلمية والتقنية الأخرى,30.0,,,,30.0,,,,,,,,,,
2023,2,منطقة نجران,التخزين وأنشطة الدعم للنقل,506.0,35.0,,,541.0,,,,,,,,,,
2023,2,منطقة نجران,التعليم,98.0,18.0,5.0,,121.0,,,,,,,,,,
2023,2,منطقة نجران,الرعاية مع الإقامة,,1.0,,,1.0,,,,,,,,,,
2023,2,منطقة نجران,الصحة البشرية,34.0,57.0,8.0,2.0,101.0,,,,,,,,,,
2023,2,منطقة نجران,الصرف الصحي,3.0,,,,3.0,,,,,,,,,,
2023,2,منطقة نجران,الصناعة التحويلية الأخرى,5.0,2.0,,,7.0,,,,,,,,,,
2023,2,منطقة نجران,الطباعة واستنساخ وسائط الأعلام المسجّلة,9.0,1.0,,,10.0,,,,,,,,,,
2023,2,منطقة نجران,النقل البري و النقل عبر الأنابيب,1008.0,100.0,5.0,,1113.0,,,,,,,,,,
2023,2,منطقة نجران,النقل الجوي,2.0,,,,2.0,,,,,,,,,,
2023,2,منطقة نجران,النقل المائي,6.0,1.0,,,7.0,,,,,,,,,,
2023,2,منطقة نجران,الهندسة المدنية,65.0,21.0,9.0,7.0,102.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة الاستخدام,56.0,7.0,2.0,,65.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,1.0,,,,1.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة الأمن والتحقيقات,2.0,,,1.0,3.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,10.0,,,,10.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة البرمجة والإذاعة,1.0,,,,1.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,4.0,,,,4.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة التشييد المتخصصة,1075.0,90.0,7.0,3.0,1175.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة الخدمات الشخصية الأخرى,950.0,22.0,,,972.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,9.0,1.0,,,10.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة العمل الاجتماعي، دون إقامة,36.0,12.0,,,48.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,1.0,,,,1.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,159.0,13.0,,,172.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,4.0,,,,4.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,6.0,,,,6.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة المنظمات ذات العضوية,29.0,2.0,1.0,,32.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة النشر,1.0,,1.0,,2.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة تقديم الخدمات للمباني وتجميل المواقع,168.0,40.0,13.0,7.0,228.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,12.0,1.0,,,13.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة خدمات الأطعمة والمشروبات,1620.0,199.0,8.0,1.0,1828.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة خدمات المعلومات,1.0,,,,1.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة خدمات دعم التعدين,1.0,,,,1.0,,,,,,,,,,
2023,2,منطقة نجران,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,662.0,17.0,2.0,,681.0,,,,,,,,,,
2023,2,منطقة نجران,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,2694.0,287.0,9.0,,2990.0,,,,,,,,,,
2023,2,منطقة نجران,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,628.0,102.0,7.0,,737.0,,,,,,,,,,
2023,2,منطقة نجران,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,912.0,102.0,3.0,,1017.0,,,,,,,,,,
2023,2,منطقة نجران,تجميع المياه ومعالجتها وتوصيلها,27.0,5.0,3.0,,35.0,,,,,,,,,,
2023,2,منطقة نجران,تشييد المباني,2699.0,345.0,46.0,6.0,3096.0,,,,,,,,,,
2023,2,منطقة نجران,تعدين الفحم والليغنيت,1.0,,,,1.0,,,,,,,,,,
2023,2,منطقة نجران,تعدين ركازات الفلزات,4.0,1.0,,,5.0,,,,,,,,,,
2023,2,منطقة نجران,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,2.0,,,,2.0,,,,,,,,,,
2023,2,منطقة نجران,توصيل الكهرباء والغاز والبخار وتكييف الهواء,7.0,1.0,,,8.0,,,,,,,,,,
2023,2,منطقة نجران,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,86.0,2.0,,,88.0,,,,,,,,,,
2023,2,منطقة نجران,صُنع المشروبات,5.0,2.0,2.0,,9.0,,,,,,,,,,
2023,2,منطقة نجران,صُنع الملبوسات,413.0,18.0,1.0,,432.0,,,,,,,,,,
2023,2,منطقة نجران,صُنع المنتجات الجلدية والمنتجات ذات الصلة,3.0,,,,3.0,,,,,,,,,,
2023,2,منطقة نجران,صُنع المنتجات الغذائية,182.0,19.0,,,201.0,,,,,,,,,,
2023,2,منطقة نجران,صُنع المنسوجات,50.0,3.0,,,53.0,,,,,,,,,,
2023,2,منطقة نجران,صُنع المواد الكيميائية والمنتجات الكيميائية,10.0,5.0,3.0,,18.0,,,,,,,,,,
2023,2,منطقة نجران,صُنع الورق ومنتجات الورق,21.0,1.0,,,22.0,,,,,,,,,,
2023,2,منطقة نجران,صناعة الآلات والمعدات غير المصنفة في موضع أخر,10.0,1.0,1.0,,12.0,,,,,,,,,,
2023,2,منطقة نجران,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,8.0,,,,8.0,,,,,,,,,,
2023,2,منطقة نجران,صناعة معدات النقل الأخرى,4.0,,,,4.0,,,,,,,,,,
2023,2,منطقة نجران,صنع الأثاث,110.0,12.0,3.0,,125.0,,,,,,,,,,
2023,2,منطقة نجران,صنع الحواسيب والمنتجات الإلكترونية والبصرية,6.0,,,,6.0,,,,,,,,,,
2023,2,منطقة نجران,صنع الفلزات القاعدية,34.0,,1.0,1.0,36.0,,,,,,,,,,
2023,2,منطقة نجران,صنع المعدات الكهربائية,7.0,2.0,,,9.0,,,,,,,,,,
2023,2,منطقة نجران,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,3.0,1.0,,,4.0,,,,,,,,,,
2023,2,منطقة نجران,صنع منتجات المطاط واللدائن,12.0,3.0,3.0,,18.0,,,,,,,,,,
2023,2,منطقة نجران,صنع منتجات المعادن اللافلزية الأخرى,79.0,32.0,22.0,1.0,134.0,,,,,,,,,,
2023,2,منطقة نجران,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),347.0,10.0,1.0,,358.0,,,,,,,,,,
2023,2,منطقة نجران,صيد الأسماك وتربية المائيات,2260.0,14.0,,,2274.0,,,,,,,,,,
2023,2,منطقة نجران,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,14.0,2.0,,,16.0,,,,,,,,,,
2023,2,منطقة نجران,غير معرف,3453.0,42.0,1.0,,3496.0,,,,,,,,,,
