السنة,الربع,المنطقة,النشاط الاقتصادي,عدد المنشآت متناهية الصغر,عدد المنشآت الصغيرة,عدد المنشآت المتوسطة,عدد المنشآت الكبيرة,عدد المنشآت,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
2023,2,منطقة مكة المكرمة,الرعاية مع الإقامة,20.0,17.0,2.0,,39.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,الصحة البشرية,448.0,733.0,182.0,31.0,1394.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,الصرف الصحي,75.0,27.0,6.0,1.0,109.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,الصناعة التحويلية الأخرى,181.0,99.0,24.0,6.0,310.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,الطباعة واستنساخ وسائط الأعلام المسجّلة,195.0,85.0,7.0,,287.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,النقل البري و النقل عبر الأنابيب,3806.0,1012.0,158.0,24.0,5000.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,النقل الجوي,86.0,26.0,3.0,2.0,117.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,النقل المائي,123.0,36.0,4.0,,163.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,الهندسة المدنية,707.0,336.0,93.0,38.0,1174.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,أنشطة الاستخدام,401.0,55.0,6.0,9.0,471.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,1.0,,,,1.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,أنشطة الأمن والتحقيقات,67.0,36.0,8.0,5.0,116.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,625.0,130.0,13.0,1.0,769.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,أنشطة البرمجة والإذاعة,20.0,11.0,1.0,,32.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,101.0,36.0,4.0,3.0,144.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,أنشطة التشييد المتخصصة,11638.0,1913.0,219.0,51.0,13821.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,أنشطة الخدمات الشخصية الأخرى,9334.0,735.0,18.0,,10087.0,,,,,,,,,,
